,Side Profile,,Surface Roughness (v3),,Cross-sectional area,
,Profile Distance (mm),Profile Angle (°),Fan Area,No Fan Area,,Area Ratio
L0_front,0,0,12.561,0,99.294,0.99294
L6_front,0.003,4.396,12.971,13.343,99.261,0.99261
L12_front,0.039,0.321,12.518,9.734,98.896,0.98896
L18_front,0.089,2.139,11.439,14.07,98.752,0.98752
L24_front,0.146,2.64,12.251,20.204,98.943,0.98943
L30_front,0.181,2.443,11.855,22.809,98.468,0.98468
L36_front,0.224,2.996,14.585,23.554,98.01,0.9801
L42_front,0.204,4.739,11.174,19.808,97.809,0.97809
L50_front,0,0,0,23.542,96.85,0.9685
L0_right,0,0,13.51,0,99.026,0.99026
L6_right,0.003,1.178,14.463,13.355,99.119,0.99119
L12_right,0.049,0.71,12.689,11.685,99.215,0.99215
L18_right,0.085,1.416,14.95,19.859,98.921,0.98921
L24_right,0.17,2.369,15.793,23.995,98.602,0.98602
L30_right,0.233,2.791,13.759,26.556,98.635,0.98635
L36_right,0.186,2.981,17.635,22.073,98.267,0.98267
L42_right,0.158,3.688,25.725,19.726,98.422,0.98422
L50_right,0,0,0,25.034,98.673,0.98673
L0_back,0,0,14.977,0,99.567,0.99567
L6_back,0.017,0.214,15.847,13.029,99.363,0.99363
L12_back,0.088,2.173,12.127,14.125,99.393,0.99393
L18_back,0.158,2.194,19.993,24.436,99.139,0.99139
L24_back,0.215,2.609,21.214,27.312,99.212,0.99212
L30_back,0.22,3.292,14.319,26.721,98.982,0.98982
L36_back,0.202,5.358,19.415,28.099,98.354,0.98354
L42_back,0.173,9.124,27.693,17.576,98.302,0.98302
L50_back,0,0,0,23.219,97.653,0.97653
L0_left,0,0,11.252,0,99.361,0.99361
L6_left,0.007,1.87,10.737,10.437,99.111,0.99111
L12_left,0.05,1.231,10.378,12.092,99.036,0.99036
L18_left,0.085,1.561,10.698,18.329,98.738,0.98738
L24_left,0.121,2.011,13.746,25.76,98.992,0.98992
L30_left,0.143,2.334,10.385,27.738,98.589,0.98589
L36_left,0.168,4.786,16.709,30.537,98.394,0.98394
L42_left,0.107,6.751,25.232,14.826,97.54,0.9754
L50_left,0,0,0,22.133,97.299,0.97299
L0_top,,,,,98.104,0.98104
L6_top,,,,,98.084,0.98084
L12_top,,,,,97.728,0.97728
L18_top,,,,,97.88,0.9788
L24_top,,,,,98.045,0.98045
L30_top,,,,,98.759,0.98759
L36_top,,,,,98.083,0.98083
L42_top,,,,,97.695,0.97695
L50_top,,,,,93.491,0.93491
L0_bottom,,,,,97.904,0.97904
L6_bottom,,,,,97.735,0.97735
L12_bottom,,,,,97.841,0.97841
L18_bottom,,,,,97.103,0.97103
L24_bottom,,,,,97.943,0.97943
L30_bottom,,,,,101.147,1.01147
L36_bottom,,,,,97.204,0.97204
L42_bottom,,,,,98.667,0.98667
L50_bottom,,,,,98.077,0.98077
